Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,RV,imp_vol,VRP,VRP_std,VRP_mean
2023-12-01,188.54937654269267,189.76786509072264,187.45966150556924,189.45086669921875,45704800,0.0,0.0,,,,,,
2023-12-04,188.2026180609542,188.2719704243489,185.69628894913777,187.6577606201172,43389500,0.0,0.0,-0.0094647552177651,,,,,
2023-12-05,188.4304979774413,192.5812857565897,188.4007647355339,191.61045837402344,66628400,0.0,0.0,0.0210633322109594,,,,,
2023-12-06,192.6308143978356,192.937911765336,190.3127099631217,190.520751953125,41089700,0.0,0.0,-0.0056870926052028,,,,,
2023-12-07,191.8184875533541,193.17566559760107,191.7788533108163,192.45249938964844,47477700,0.0,0.0,0.0101393019748248,,,,,
2023-12-08,192.3831304135776,194.1563922712021,191.8580901155405,193.87901306152344,53406400,0.0,0.0,0.0074122896631589,,,,,
2023-12-11,191.3033586686724,191.67980841318465,189.6291670567547,191.3726959228516,60943700,0.0,0.0,-0.0129272224935277,,,,,
2023-12-12,191.2736267138596,192.8982829604503,189.92634969600127,192.8883819580078,52696900,0.0,0.0,0.0079200746368084,,,,,
2023-12-13,193.2647964597461,196.14757505430103,193.0270514975776,196.1079559326172,70404200,0.0,0.0,0.0166913835967077,,,,,
2023-12-14,196.16740691178524,197.75242887078264,194.32480773637585,196.25656127929688,66831600,0.0,0.0,0.0007577731661776,,,,,
2023-12-15,195.6819844119138,196.54384019084355,195.15694409647,195.7216186523437,128538400,0.0,0.0,-0.0027257311728388,,,,,
2023-12-18,194.25545312358383,194.7904095545261,192.5713606983871,194.0573272705078,55751900,0.0,0.0,-0.0085033599931144,,,,,
2023-12-19,194.32480226669028,195.10740466398727,194.05732405565035,195.0975036621093,40714100,0.0,0.0,0.0053601500455151,,,,,
2023-12-20,195.05787394759355,195.8305753609382,193.0072479248047,193.0072479248047,52242800,0.0,0.0,-0.0107139030385792,,,,,
2023-12-21,194.26535554386368,195.236182736706,191.6896742873876,192.858627319336,46482500,0.0,0.0,-0.0007700260330464,,,,,
2023-12-22,193.3539621368764,193.58182122700063,191.164646529934,191.78875732421875,37149600,0.0,0.0,-0.0055474313490041,,,,,
2023-12-26,191.7986702097743,192.0760494430794,191.02596875756228,191.2439117431641,28919300,0.0,0.0,-0.0028408629820444,,,,,
2023-12-27,190.6891731516305,191.68971869633447,189.302261724516,191.34298706054688,48087700,0.0,0.0,0.0005180573670542,,,,,
2023-12-28,192.32370988068791,192.8388492190412,191.3627835700825,191.7689514160156,34049900,0.0,0.0,0.0022261822187084,,,,,
2023-12-29,192.0859530857412,192.58127531145587,189.9362564400636,190.7287750244141,42672100,0.0,0.0,-0.0054241126309599,,,,,
2024-01-02,185.3991117688797,186.67705163638013,182.16961614691823,183.9032440185547,82488700,0.0,0.0,-0.0357865823077072,0.1916851159227178,0.2363531629566977,0.04466804703397989,0.006254633526908504,0.04466804703397989
2024-01-03,182.49652699212288,184.1410004538629,181.7139093893273,182.5262451171875,58414500,0.0,0.0,-0.0074876270329862,0.1907099035035147,0.2265325629760671,0.03582265947255242,0.006254633526908504,0.040245353253266156
2024-01-04,180.4458748691036,181.37708304150152,179.18776734055538,180.2081298828125,71983600,0.0,0.0,-0.0127001748865578,0.1751864514232293,0.2202568223144372,0.045070370891207884,0.005226900166138648,0.041853692465913396
2024-01-05,180.28738953880887,181.05017488447825,178.48440937769652,179.48495483398438,62379700,0.0,0.0,-0.0040129990211784,0.1749470652824819,0.2110287238063951,0.03608165852391318,0.005151965727249563,0.040410683980413344
2024-01-08,180.38642231817897,183.8635935887416,179.80194579166275,183.823959350586,59144500,0.0,0.0,0.0241747533692444,0.1948100815658896,0.2325324752077648,0.037722393641875185,0.004620870494822497,0.03987302591270571
2024-01-09,182.19929545100783,183.4177836915281,181.02042633091327,183.4078826904297,42841800,0.0,0.0,-0.0022634517373369,0.1914643667924398,0.2308079017478272,0.039343534955387394,0.004138681200928286,0.039784777419819325
2024-01-10,182.62529236075727,184.65610118978807,182.19930742900604,184.4480743408203,46792900,0.0,0.0,0.0056714664338954,0.1896649584159765,0.2357209494591596,0.046055991043183114,0.004460067783921385,0.04068066508029987
2024-01-11,184.7948079290432,185.3000462697353,181.90212796654464,183.85369873046875,49128400,0.0,0.0,-0.0032224549509434,0.186204806405056,0.2318409822318135,0.045636175826757525,0.004485543106732938,0.04130010392360707
2024-01-12,184.3193079074704,184.99295400827785,183.45745205458948,184.1806182861328,40477800,0.0,0.0,0.0017781505507992,0.1730601599728982,0.2344876609650144,0.06142750099211619,0.007913124655574921,0.04353648137566365
2024-01-16,180.45578462721195,182.5361287641061,179.23728115128063,181.9120330810547,65603000,0.0,0.0,-0.012317176618192,0.1754260822883026,0.2469333640345523,0.0715072817462497,0.011571370035813012,0.04633356141272225
2024-01-17,179.57411959355028,181.2185778549055,178.613193289656,180.97091674804688,47317400,0.0,0.0,-0.0051734693800518,0.1754555139883239,0.2407215318650954,0.0652660178767715,0.012373043618982433,0.04805469381854491
2024-01-18,184.3490045055888,187.37047281337263,184.0914424149049,186.86524963378903,78005800,0.0,0.0,0.0325706085356711,0.2167339464762966,0.2663250818460831,0.049591135369786515,0.011805568853721056,0.048182730614481716
2024-01-19,187.55868967912403,190.1541729432286,187.05346652103705,189.767822265625,68903000,0.0,0.0,0.015532971686947,0.2240739874978054,0.2757354503822909,0.051661462884485504,0.011344075925104927,0.048450325404482006
2024-01-22,190.5009439071057,193.5025955885052,190.4613096613906,192.07606506347656,60133900,0.0,0.0,0.0121635099686217,0.2260185828595692,0.3021721543702634,0.07615357151069421,0.013176048413477118,0.05042912869778287
2024-01-23,193.1954970136862,193.91866327514697,192.0166276255296,193.3539886474609,42355600,0.0,0.0,0.0066532161805898,0.2272790073556006,0.3120697296744815,0.08479072231888088,0.015489424460768288,0.05271990160585607
2024-01-24,193.59173469903223,194.54276001272405,192.521836889642,192.6803436279297,53631300,0.0,0.0,-0.0034839985678262,0.2267011356371498,0.3189393475465003,0.09223821190935047,0.017931355364142487,0.05518979599982447
2024-01-25,193.3936037302796,194.4337833882936,191.3033434118829,192.3534240722656,54822100,0.0,0.0,-0.00169669385838,0.2265252716432143,0.3216192610682744,0.09509398942506009,0.019877248140652882,0.05753710149542657
2024-01-26,192.4524949693292,192.9379010590096,190.1442916656392,190.6197967529297,44594000,0.0,0.0,-0.0090127187893709,0.2289647230256075,0.317458067071996,0.08849334404638848,0.020617996958733342,0.05925689274825779
2024-01-29,190.21364328629937,190.40186815816608,187.80638442872507,189.936264038086,47145600,0.0,0.0,-0.0035858432675264,0.2291141561910984,0.3622039229636582,0.13308976677255982,0.026237286540067132,0.06314283348637895
2024-01-30,189.15363947733223,190.0055942449072,185.71610228505008,186.28076171875,55859400,0.0,0.0,-0.0192459419892714,0.2382213419594548,0.3563720032213111,0.11815066126185628,0.028345315913501964,0.06589322487515281
2024-01-31,185.29013601531707,185.3495873813065,182.6253150741395,182.67483520507807,55467800,0.0,0.0,-0.0193574821167854,0.2121831793240351,0.3479091814456945,0.1357260021216594,0.031852631713814084,0.07044612262953678
2024-02-01,182.2686717659614,185.2009707759516,182.1002640289582,185.11181640625,64885400,0.0,0.0,0.0133405413966078,0.2156140414798513,0.3844922443982157,0.16887820291836442,0.03761446680099627,0.07709889980182738
2024-02-02,178.1773017145222,185.5774165638072,177.57300802816712,184.1112670898437,102551700,0.0,0.0,-0.0054051077658404,0.2110671388539978,0.226903676413808,0.015836537559810182,0.03944792280200976,0.0756372081352575
2024-02-05,186.38972207997213,187.4794368744002,184.10133612770585,185.9241180419922,69668800,0.0,0.0,0.0098464965279054,0.2122957862485033,0.2845111970321746,0.0722154107836713,0.03835321879301618,0.07744389574824541
2024-02-06,185.1118168962398,187.53889270164484,185.02266252630227,187.52899169921875,43490800,0.0,0.0,0.0086318745202496,0.1972520184681101,0.1850156595648094,-0.012236358903300715,0.04248118775033232,0.07494595812098662
2024-02-07,188.8564737765281,189.2626416642188,186.84546657732497,187.6379852294922,53439000,0.0,0.0,0.000581208960203,0.1968722680525091,0.1798034046821633,-0.0170688633703458,0.04663884299677403,0.07212533820469995
2024-02-08,187.61814818475136,187.7667388029894,185.5972401965417,186.55816650390625,40962000,0.0,0.0,-0.0057547981250452,0.1976171354164038,0.1734008551888124,-0.024216280227591397,0.05113637021715093,0.06861172464116123
2024-02-09,187.12353611951417,188.45270503827624,186.4788016360717,187.32192993164065,45155200,0.24,0.0,0.0040939694147261,0.1974258800488147,0.1731244480643176,-0.024301431984497107,0.055033030369916996,0.06511484425059849
2024-02-12,186.8954092628083,187.1433864030788,185.2785934649413,185.6356811523437,41781900,0.0,0.0,-0.0090018759678177,0.2005516728084773,0.1716248354628197,-0.028926837345657597,0.058922831003802544,0.06059712733370981
2024-02-13,184.26687459944856,184.7033168281689,182.02515135835327,183.5427703857422,56529500,0.0,0.0,-0.0112742914164437,0.1997021852363491,0.1626474668530303,-0.03705471838331881,0.06274160307230933,0.055169027327231376
2024-02-14,183.82050423664705,184.0287965614488,180.9638026996327,182.6599578857422,54630500,0.0,0.0,-0.0048098462181029,0.1995687882847779,0.1926736401354642,-0.00689514814931369,0.06418858618448363,0.05156096902592713
2024-02-15,182.0648252110501,182.9972217098088,179.8826293342481,182.372314453125,65434500,0.0,0.0,-0.0015747481601693,0.1597051214320294,1.1152504836568022,0.9555453622247728,0.2120612581773591,0.09685868036867643
2024-02-16,181.9358579237584,183.3542949699424,180.2000180232841,180.8348388671875,49752500,0.0,0.0,-0.0084304220766616,0.1487449779024602,1.1147601856179257,0.9660152077154655,0.2870922929910593,0.14257636761022544
2024-02-20,180.31904659124555,180.9538674506024,178.54353696650966,180.09091186523438,53665600,0.0,0.0,-0.0041138477884756,0.1385275318717337,1.120279611788895,0.9817520799171612,0.34219232546726464,0.1878562930305488
2024-02-21,180.46782702325083,181.4101370299972,179.19818540957374,180.84475708007807,41371400,0.0,0.0,0.0041859148084488,0.1364661537398423,1.1169361265317774,0.9804699727919352,0.3840448186603635,0.23264025555420148
2024-02-22,181.9953606422476,183.4633960656365,180.9836249069253,182.878158569336,52292200,0.0,0.0,0.011243906221497,0.1458956087511992,1.1087000325630243,0.9628044238118251,0.41535341542125576,0.2761685661493252
2024-02-23,183.51297897874213,183.54273502175585,180.7554746671187,181.0431365966797,45119700,0.0,0.0,-0.0100341231944356,0.1482191426775806,1.105508237088638,0.9572890944110574,0.43960621649683146,0.3192783213986251
2024-02-26,180.7654158601022,181.28119739799624,179.18826979539264,179.69415283203125,40867400,0.0,0.0,-0.0074511731845081,0.1474785088450298,1.1161063604533916,0.9686278516083618,0.45891635260702596,0.36328504677672374
2024-02-27,179.6346334198553,182.4318074885896,178.1070858709482,181.1522521972656,54318900,0.0,0.0,0.0081143395166416,0.1525244636055261,1.121285087530184,0.968760623924658,0.4746285901753158,0.40506858963432874
2024-02-28,181.03320292829392,181.6382676787398,178.67247114624934,179.9520263671875,48953900,0.0,0.0,-0.006625508739307,0.1400160012836621,1.122867897899932,0.9828518966162699,0.4863559404012778,0.4483036514020493
