timestamp,open,high,low,close,volume,imp_vol,ttm,r,k
2024-09-03,3.5,5.72,3.5,5.7,101,0.23719016850309818,0.10403832991101986,0.0365,220.0
2024-09-04,6.47,7.8,6.22,6.35,81,0.2320397716591775,0.10130047912388775,0.0365,220.0
2024-09-05,5.79,5.91,4.5,5.79,100,0.24001324881357297,0.09856262833675565,0.0365,220.0
2024-09-06,4.98,7.19,4.61,6.75,225,0.2520026135915562,0.09582477754962354,0.0365,220.0
2024-09-09,6.5,8.03,6.0,6.0,714,0.2349384929570333,0.08761122518822724,0.0365,220.0
2024-09-10,6.71,7.7,5.6,6.0,400,0.22285150887101415,0.08487337440109514,0.0365,220.0
2024-09-11,5.6,7.2,4.6,4.6,355,0.2177191437427446,0.08213552361396304,0.0365,220.0
2024-09-12,4.85,5.32,3.94,4.24,118,0.20826391079622622,0.07939767282683094,0.0365,220.0
2024-09-13,4.0,4.45,3.6,3.98,138,0.1959283388785436,0.07665982203969883,0.0365,220.0
2024-09-16,7.04,9.0,6.82,7.05,416,0.19464649017853455,0.06844626967830253,0.0365,220.0
2024-09-17,7.25,8.0,6.54,6.76,111,0.19844090121947885,0.06570841889117043,0.0365,220.0
2024-09-18,5.7,5.7,3.9,4.7,928,0.20840582389128737,0.06297056810403832,0.0365,220.0
2024-09-19,2.92,2.94,1.77,1.86,3479,0.219484488757831,0.06023271731690623,0.0365,220.0
2024-09-20,1.63,1.83,1.14,1.83,1555,0.21292519998681397,0.057494866529774126,0.0365,220.0
2024-09-23,1.98,2.32,1.32,1.8,831,0.1990694698942086,0.049281314168377825,0.0365,220.0
2024-09-24,1.32,2.0,1.22,1.45,905,0.197426797783614,0.04654346338124572,0.0365,220.0
2024-09-25,2.01,2.25,1.53,1.71,2606,0.20291042571822748,0.04380561259411362,0.0365,220.0
2024-09-26,1.35,1.76,1.21,1.27,3384,0.19928857378637918,0.04106776180698152,0.0365,220.0
2024-09-27,1.08,1.25,0.9,1.21,1134,0.20599886162651077,0.038329911019849415,0.0365,220.0
2024-09-30,0.87,0.9,0.48,0.51,3055,0.24446830936879566,0.030116358658453114,0.0365,220.0
2024-10-01,0.93,2.28,0.85,1.44,8847,0.22837619993929678,0.02737850787132101,0.0365,220.0
2024-10-02,1.46,2.25,1.01,1.11,5903,0.22372531269691373,0.024640657084188913,0.0365,220.0
2024-10-03,1.43,1.95,1.02,1.24,6479,0.22281364655762026,0.02190280629705681,0.0365,220.0
2024-10-04,0.66,1.41,0.66,0.7,18519,0.20804766098970484,0.019164955509924708,0.0365,220.0
2024-10-07,1.03,1.95,0.71,1.8,34253,0.2134495429708433,0.010951403148528405,0.0365,220.0
2024-10-08,0.98,1.17,0.46,0.5,24185,0.24326271914895597,0.008213552361396304,0.0365,220.0
2024-10-09,0.51,0.54,0.08,0.09,36371,0.28890891495129983,0.0054757015742642025,0.0365,220.0
2024-10-10,0.1,0.12,0.02,0.02,9267,0.30105608154344504,0.0027378507871321013,0.0365,220.0
2024-10-11,0.02,0.03,0.01,0.01,5667,2.0,1e-09,0.0365,220.0
