timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-04-01,8.35,8.35,6.71,6.75,131,0.1040383299110198,0.0365,220.0,0.2915208145929577
2025-04-02,6.85,7.0,5.75,6.3,92,0.1013004791238877,0.0365,220.0,0.28919355475859987
2025-04-03,15.0,21.23,15.0,19.5,139,0.0985626283367556,0.0365,220.0,0.33011765743170224
2025-04-04,27.0,32.0,24.87,31.1,42,0.0958247775496235,0.0365,220.0,2.0
2025-04-07,43.88,43.88,31.0,38.75,28,0.0876112251882272,0.0365,220.0,0.3596752735077539
2025-04-08,31.5,48.03,30.77,48.03,153,0.0848733744010951,0.0365,220.0,0.4990385623524905
2025-04-09,41.95,41.95,24.52,24.8,41,0.082135523613963,0.0365,220.0,0.4685589384305675
2025-04-10,32.25,35.89,27.85,34.0,49,0.0793976728268309,0.0365,220.0,0.6413886567793251
2025-04-11,32.75,32.75,23.74,24.15,78,0.0766598220396988,0.0365,220.0,0.4088860355363493
2025-04-14,13.75,20.4,13.45,19.4,191,0.0684462696783025,0.0365,220.0,0.3426102747768435
2025-04-15,19.65,20.74,18.55,19.15,133,0.0657084188911704,0.0365,220.0,0.3042796116855299
2025-04-16,24.5,26.3,22.87,25.75,45,0.0629705681040383,0.0365,220.0,2.0
2025-04-17,25.6,26.05,22.28,22.28,29,0.0602327173169062,0.0365,220.0,2.0
2025-04-21,26.95,30.2,26.95,30.2,104,0.0492813141683778,0.0365,220.0,0.6658595720856113
2025-04-22,21.52,22.55,21.25,22.35,5,0.0465434633812457,0.0365,220.0,0.462246239669877
2025-04-23,15.82,18.35,14.31,17.25,137,0.0438056125941136,0.0365,220.0,0.3730243743466573
2025-04-24,16.52,16.55,14.65,14.65,8,0.0410677618069815,0.0365,220.0,0.41027177382505875
2025-04-25,14.55,14.65,13.0,13.72,21,0.0383299110198494,0.0365,220.0,0.40366761108181926
2025-04-28,12.33,13.75,11.95,12.0,88,0.0301163586584531,0.0365,220.0,0.35736284689107606
2025-04-29,12.85,13.12,10.45,10.8,107,0.027378507871321,0.0365,220.0,0.3372625874265105
2025-04-30,12.45,14.03,9.4,9.4,289,0.0246406570841889,0.0365,220.0,0.3130460854946139
2025-05-01,11.35,11.85,8.85,9.75,462,0.0219028062970568,0.0365,220.0,0.421471173968051
2025-05-02,14.38,17.9,13.51,15.19,308,0.0191649555099247,0.0365,220.0,2.0
2025-05-05,16.1,21.5,16.1,21.3,224,0.0109514031485284,0.0365,220.0,2.0
2025-05-06,21.57,22.55,19.65,20.54,180,0.0082135523613963,0.0365,220.0,2.0
2025-05-07,21.69,26.6,20.7,23.79,197,0.0054757015742642,0.0365,220.0,2.0
2025-05-08,22.8,24.6,20.0,22.3,605,0.0027378507871321,0.0365,220.0,2.0
2025-05-09,20.35,22.2,20.35,22.05,54,1e-09,0.0365,220.0,2.0
