timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-06-03,6.5,7.15,6.0,6.85,275,0.10403832991101986,0.045,205.0,0.2840853756276073
2025-06-04,6.6,8.1,6.36,6.5,367,0.10130047912388775,0.045,205.0,0.2747512656899004
2025-06-05,6.6,7.28,5.3,5.3,609,0.09856262833675565,0.045,205.0,0.23172460333618858
2025-06-06,6.95,7.5,6.1,6.98,254,0.09582477754962354,0.045,205.0,0.30257239095113536
2025-06-09,6.95,7.74,4.95,5.4,1852,0.08761122518822724,0.045,205.0,0.251857126852289
2025-06-10,4.95,6.39,4.9,5.54,1460,0.08487337440109514,0.045,205.0,0.262313771740919
2025-06-11,5.95,6.3,3.8,3.9,1926,0.08213552361396304,0.045,205.0,0.19623838496283583
2025-06-12,3.95,3.95,3.3,3.7,2151,0.07939767282683094,0.045,205.0,0.19126602536044235
2025-06-13,4.05,4.15,2.55,2.58,3660,0.07665982203969883,0.045,205.0,0.1447335253655195
2025-06-16,2.9,2.9,2.36,2.76,1316,0.06844626967830253,0.045,205.0,0.16330071878632227
2025-06-17,2.43,2.71,1.97,2.01,958,0.06570841889117043,0.045,205.0,0.13042336990284073
2025-06-18,1.98,2.24,1.68,1.98,1862,0.06297056810403832,0.045,205.0,0.13222743667635392
2025-06-20,2.14,3.3,1.91,3.15,1726,0.057494866529774126,0.045,205.0,0.20071822619772392
2025-06-23,3.28,3.28,2.29,2.8,1874,0.049281314168377825,0.045,205.0,0.19887447710442827
2025-06-24,3.1,3.5,2.2,2.25,5095,0.04654346338124572,0.045,205.0,0.17318207209731604
2025-06-25,2.51,3.5,2.31,2.56,3018,0.04380561259411362,0.045,205.0,0.1977925711812513
2025-06-26,2.47,2.84,1.79,2.18,5165,0.04106776180698152,0.045,205.0,0.1812603018179752
2025-06-27,2.32,3.04,1.96,2.1,13410,0.038329911019849415,0.045,205.0,0.18309251128229248
2025-06-30,2.3,5.35,1.44,3.88,31059,0.030116358658453114,0.045,205.0,0.3374938084278756
2025-07-01,4.74,7.03,4.45,5.39,18177,0.02737850787132101,0.045,205.0,0.46817054060635954
2025-07-02,6.3,9.49,5.55,8.4,10022,0.024640657084188913,0.045,205.0,0.7316700620175293
2025-07-03,8.3,10.2,7.9,9.12,2193,0.02190280629705681,0.045,205.0,0.837121526314269
2025-07-07,8.35,11.5,5.18,6.0,7319,0.010951403148528405,0.045,205.0,0.8203234383258465
2025-07-08,5.9,6.95,4.54,5.45,2652,0.008213552361396304,0.045,205.0,0.8734832879296833
2025-07-09,4.96,6.55,3.27,6.42,4338,0.0054757015742642025,0.045,205.0,1.2341195673669378
2025-07-10,5.8,8.55,5.6,7.55,5346,0.0027378507871321013,0.045,205.0,2.015232741738092
2025-07-11,5.95,7.07,5.0,6.06,4236,1e-09,0.045,205.0,
