timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2024-06-04,5.43,5.43,4.4,4.68,64,0.10403832991101986,0.045,195.0,0.16597930699596602
2024-06-05,4.15,4.5,3.75,4.12,177,0.10130047912388775,0.045,195.0,0.14473387523382766
2024-06-06,4.2,4.81,3.9,4.67,77,0.09856262833675565,0.045,195.0,0.1690173197119321
2024-06-07,4.35,4.75,3.5,3.5,262,0.09582477754962354,0.045,195.0,0.12149334122228773
2024-06-10,3.41,5.67,3.41,5.0,716,0.08761122518822724,0.045,195.0,0.19146131536683167
2024-06-11,4.2,4.2,0.97,0.98,2423,0.08487337440109514,0.045,195.0,
2024-06-12,0.85,0.89,0.38,0.75,1434,0.08213552361396304,0.045,195.0,
2024-06-13,0.6,0.75,0.5,0.53,566,0.07939767282683094,0.045,195.0,
2024-06-14,0.56,0.63,0.5,0.52,577,0.07665982203969883,0.045,195.0,
2024-06-17,0.46,0.5,0.3,0.34,593,0.06844626967830253,0.045,195.0,
2024-06-18,0.31,0.46,0.31,0.43,701,0.06570841889117043,0.045,195.0,
2024-06-20,0.39,0.65,0.39,0.62,275,0.06023271731690623,0.045,195.0,
2024-06-21,0.52,0.6,0.38,0.6,552,0.057494866529774126,0.045,195.0,
2024-06-24,0.59,0.6,0.29,0.48,310,0.049281314168377825,0.045,195.0,
2024-06-25,0.4,0.4,0.28,0.33,238,0.04654346338124572,0.045,195.0,
2024-06-26,0.23,0.27,0.15,0.2,472,0.04380561259411362,0.045,195.0,
2024-06-27,0.18,0.2,0.16,0.16,112,0.04106776180698152,0.045,195.0,
2024-06-28,0.13,0.18,0.1,0.18,444,0.038329911019849415,0.045,195.0,
2024-07-01,0.12,0.12,0.08,0.1,1181,0.030116358658453114,0.045,195.0,
2024-07-02,0.1,0.11,0.07,0.09,1032,0.02737850787132101,0.045,195.0,
2024-07-03,0.1,0.1,0.05,0.07,336,0.024640657084188913,0.045,195.0,
2024-07-05,0.05,0.06,0.03,0.04,2900,0.019164955509924708,0.045,195.0,
2024-07-08,0.03,0.05,0.02,0.03,537,0.010951403148528405,0.045,195.0,
2024-07-09,0.03,0.03,0.01,0.02,194,0.008213552361396304,0.045,195.0,
2024-07-10,0.02,0.02,0.01,0.01,533,0.0054757015742642025,0.045,195.0,
2024-07-11,0.01,0.01,0.01,0.01,361,0.0027378507871321013,0.045,195.0,
2024-07-12,0.01,0.01,0.01,0.01,136,1e-09,0.045,195.0,
