timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-09-02,7.15,7.98,6.6,6.77,24,0.1040383299110198,0.0365,230.0,0.2356928639871261
2025-09-03,4.2,4.6,3.5,3.52,86,0.1013004791238877,0.0365,230.0,0.2415819893087986
2025-09-04,3.58,3.58,2.75,2.75,469,0.0985626283367556,0.0365,230.0,0.2282537822856171
2025-09-05,2.65,3.05,2.46,2.77,295,0.0958247775496235,0.0365,230.0,0.23109050343075596
2025-09-08,2.84,3.35,2.48,2.98,404,0.0876112251882272,0.0365,230.0,0.2287812747831732
2025-09-09,3.08,4.4,2.95,3.9,493,0.0848733744010951,0.0365,230.0,0.2232358107866288
2025-09-10,5.12,7.7,5.05,7.25,634,0.082135523613963,0.0365,230.0,0.22167868666092025
2025-09-11,7.05,7.15,5.08,5.1,100,0.0793976728268309,0.0365,230.0,0.2066844043043367
2025-09-12,5.05,5.45,3.65,3.73,464,0.0766598220396988,0.0365,230.0,0.22262277865392022
2025-09-15,2.77,3.31,2.53,2.76,1349,0.0684462696783025,0.0365,230.0,0.22998404604276057
2025-09-16,2.6,2.74,1.83,2.21,424,0.0657084188911704,0.0365,230.0,0.22709428794482142
2025-09-17,2.06,2.37,1.88,2.09,887,0.0629705681040383,0.0365,230.0,0.23637107119448733
2025-09-18,1.76,2.45,1.5,2.13,759,0.0602327173169062,0.0365,230.0,0.22858443677822968
2025-09-19,1.48,1.56,0.85,0.94,660,0.0574948665297741,0.0365,230.0,0.24815219322831733
2025-09-22,0.69,0.69,0.39,0.4,691,0.0492813141683778,0.0365,230.0,0.30789981920575127
2025-09-23,0.39,0.45,0.35,0.43,608,0.0465434633812457,0.0365,230.0,0.30661905162967634
2025-09-24,0.36,0.47,0.36,0.39,87,0.0438056125941136,0.0365,230.0,0.28931474876657054
2025-09-25,0.35,0.45,0.26,0.26,523,0.0410677618069815,0.0365,230.0,0.3156125242740382
2025-09-26,0.34,0.34,0.17,0.19,350,0.0383299110198494,0.0365,230.0,0.2957731475180863
2025-09-29,0.19,0.2,0.15,0.15,213,0.0301163586584531,0.0365,230.0,0.30938100424066645
2025-09-30,0.12,0.14,0.11,0.12,341,0.027378507871321,0.0365,230.0,0.3144096950156565
2025-10-01,0.1,0.12,0.09,0.1,298,0.0246406570841889,0.0365,230.0,0.3301738142550025
2025-10-02,0.08,0.1,0.06,0.06,507,0.0219028062970568,0.0365,230.0,0.34188290721639153
2025-10-03,0.07,0.07,0.03,0.04,309,0.0191649555099247,0.0365,230.0,0.3553839263827314
2025-10-06,0.05,0.05,0.02,0.03,461,0.0109514031485284,0.0365,230.0,0.43477293001393336
2025-10-07,0.03,0.03,0.02,0.02,88,0.0082135523613963,0.0365,230.0,0.47517835729437347
2025-10-08,0.01,0.02,0.01,0.01,70,0.0054757015742642,0.0365,230.0,0.5671926229478222
2025-10-09,0.01,0.02,0.01,0.01,97,0.0027378507871321,0.0365,230.0,0.7023638055061273
2025-10-10,0.01,0.01,0.01,0.01,473,1e-09,0.0365,230.0,2.0
