timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-03-04,6.75,7.85,6.25,7.85,244,0.1040383299110198,0.0365,235.0,0.27662092458609494
2025-03-05,7.9,10.74,6.86,7.3,221,0.1013004791238877,0.0365,235.0,0.2584786116326419
2025-03-06,8.25,8.85,7.01,7.95,130,0.0985626283367556,0.0365,235.0,0.27724134128307343
2025-03-07,6.55,6.98,5.78,5.9,330,0.0958247775496235,0.0365,235.0,0.26637990937672346
2025-03-10,7.65,14.35,7.4,13.45,97,0.0876112251882272,0.0365,235.0,0.3378043182383243
2025-03-11,15.05,19.2,14.35,15.63,36,0.0848733744010951,0.0365,235.0,0.23028220064896016
2025-03-12,15.8,20.53,15.8,19.1,24,0.082135523613963,0.0365,235.0,0.24849785030183655
2025-03-13,24.07,26.5,23.89,26.43,19,0.0793976728268309,0.0365,235.0,0.32954265147796374
2025-03-14,22.55,23.49,22.55,22.55,6,0.0766598220396988,0.0365,235.0,0.287507705883178
2025-03-17,22.6,24.01,20.25,20.29,34,0.0684462696783025,0.0365,235.0,2.0
2025-03-18,22.17,22.17,22.17,22.17,1,0.0657084188911704,0.0365,235.0,2.0
2025-03-19,19.01,21.02,19.01,20.41,11,0.0629705681040383,0.0365,235.0,0.2450575890666821
2025-03-20,18.4,22.5,18.4,22.11,23,0.0602327173169062,0.0365,235.0,0.321348707537976
2025-03-21,22.5,22.5,16.82,16.82,11,0.0574948665297741,0.0365,235.0,2.0
2025-03-24,15.32,15.52,15.08,15.12,8,0.0492813141683778,0.0365,235.0,0.22370548946697474
2025-03-25,14.77,14.77,11.75,11.75,16,0.0465434633812457,0.0365,235.0,0.14084263518728715
2025-03-26,11.7,14.65,11.32,14.65,38,0.0438056125941136,0.0365,235.0,0.258098408827788
2025-03-27,13.35,14.4,11.3,11.3,35,0.0410677618069815,0.0365,235.0,2.0
2025-03-28,13.7,16.83,12.5,16.83,9,0.0383299110198494,0.0365,235.0,2.0
2025-03-31,17.17,17.4,13.84,13.84,75,0.0301163586584531,0.0365,235.0,0.26037732168941785
2025-04-01,12.9,13.5,12.3,12.45,94,0.027378507871321,0.0365,235.0,0.18644752060703654
2025-04-02,12.2,12.2,10.73,11.89,30,0.0246406570841889,0.0365,235.0,0.2164659637036622
2025-04-03,28.8,33.36,28.8,33.36,17,0.0219028062970568,0.0365,235.0,0.7540659380062549
2025-04-04,43.32,43.8,43.32,43.8,2,0.0191649555099247,0.0365,235.0,2.0
2025-04-07,58.5,59.0,54.25,54.25,16,0.0109514031485284,0.0365,235.0,1.2103006363928677
2025-04-08,45.42,54.35,45.42,54.35,7,0.0082135523613963,0.0365,235.0,2.0
2025-04-09,56.51,57.22,44.4,44.4,3,0.0054757015742642,0.0365,235.0,3.317425408408761
2025-04-10,46.16,46.16,43.75,43.75,9,0.0027378507871321,0.0365,235.0,2.0
2025-04-11,36.98,36.98,36.98,36.98,5,1e-09,0.0365,235.0,2.0
