timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-11-04,7.73,9.34,7.45,8.55,584,0.1040383299110198,0.0365,270.0,0.2349687423993326
2025-11-05,7.6,9.15,7.1,8.48,497,0.1013004791238877,0.0365,270.0,0.23491323498448596
2025-11-06,7.25,10.5,7.25,8.5,1388,0.0985626283367556,0.0365,270.0,0.24494128720682434
2025-11-07,7.8,9.77,6.97,7.32,1252,0.0958247775496235,0.0365,270.0,0.23324742846625104
2025-11-10,7.6,10.15,7.0,7.55,1462,0.0876112251882272,0.0365,270.0,0.2328614115133225
2025-11-11,8.1,11.25,8.1,10.91,950,0.0848733744010951,0.0365,270.0,0.2363855717720878
2025-11-12,10.75,11.0,8.9,10.15,159,0.082135523613963,0.0365,270.0,0.2523134361160449
2025-11-13,10.38,11.8,8.95,9.95,150,0.0793976728268309,0.0365,270.0,0.26079290825122153
2025-11-14,8.62,11.1,7.98,8.95,267,0.0766598220396988,0.0365,270.0,0.24267935599206222
2025-11-17,6.91,7.43,5.5,5.9,1012,0.0684462696783025,0.0365,270.0,0.2425162343444269
2025-11-18,7.29,7.65,5.4,6.13,1117,0.0657084188911704,0.0365,270.0,0.25673339152250046
2025-11-19,5.14,8.2,5.14,6.22,591,0.0629705681040383,0.0365,270.0,0.24596588523201918
2025-11-20,8.0,9.75,5.4,5.55,1223,0.0602327173169062,0.0365,270.0,0.2675936962838653
2025-11-21,5.15,8.3,5.15,7.1,565,0.0574948665297741,0.0365,270.0,0.2325666951978175
2025-11-24,7.45,10.32,7.45,9.42,332,0.0492813141683778,0.0365,270.0,0.2339287288453767
2025-11-25,9.25,12.85,9.25,10.4,334,0.0465434633812457,0.0365,270.0,0.25365328882616195
2025-11-26,10.55,11.5,9.69,10.0,114,0.0438056125941136,0.0365,270.0,0.22045485656008984
2025-11-28,9.69,10.8,8.6,10.8,326,0.0383299110198494,0.0365,270.0,0.22663365651950557
2025-12-01,10.15,14.25,9.0,14.05,385,0.0301163586584531,0.0365,270.0,0.23568101471567277
2025-12-02,14.1,17.55,14.01,17.35,194,0.027378507871321,0.0365,270.0,0.31147541408126517
2025-12-03,18.1,19.0,14.87,14.93,425,0.0246406570841889,0.0365,270.0,0.2591356872582369
2025-12-04,15.08,15.08,9.9,10.99,752,0.0219028062970568,0.0365,270.0,0.14488019364797677
2025-12-05,11.55,11.65,8.99,9.52,391,0.0191649555099247,0.0365,270.0,0.213740217499205
2025-12-08,8.85,10.2,7.18,8.45,4879,0.0109514031485284,0.0365,270.0,0.24605241773561876
2025-12-09,9.15,10.4,7.65,7.65,4568,0.0082135523613963,0.0365,270.0,0.25410337607134226
2025-12-10,8.55,9.85,7.0,9.25,1900,0.0054757015742642,0.0365,270.0,0.3634124052054348
2025-12-11,9.59,9.75,4.45,8.08,2354,0.0027378507871321,0.0365,270.0,0.2647094086706251
2025-12-12,7.51,9.1,6.95,8.2,2385,1e-09,0.0365,270.0,2.0
