timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2025-11-04,8.5,8.5,7.0,7.6,55,0.1040383299110198,0.0365,270.0,0.2306876897074275
2025-11-05,8.45,9.0,7.1,7.72,45,0.1013004791238877,0.0365,270.0,0.2382760483574946
2025-11-06,8.3,8.37,6.3,7.5,299,0.0985626283367556,0.0365,270.0,0.22945748173023514
2025-11-07,8.31,8.8,6.95,8.35,376,0.0958247775496235,0.0365,270.0,0.23876328000865102
2025-11-10,6.85,7.65,5.5,7.25,474,0.0876112251882272,0.0365,270.0,0.23261034384086293
2025-11-11,6.05,6.05,4.38,4.55,498,0.0848733744010951,0.0365,270.0,0.2272020431817896
2025-11-12,4.65,5.79,4.45,5.2,832,0.082135523613963,0.0365,270.0,0.23007324339704696
2025-11-13,4.8,5.93,4.3,5.7,759,0.0793976728268309,0.0365,270.0,0.2434385869426249
2025-11-14,6.56,7.2,4.33,5.45,363,0.0766598220396988,0.0365,270.0,0.23127614824367101
2025-11-17,7.0,8.65,6.2,7.95,517,0.0684462696783025,0.0365,270.0,0.2491154097563264
2025-11-18,6.3,9.0,6.3,7.45,169,0.0657084188911704,0.0365,270.0,0.23497042297403695
2025-11-19,8.35,8.35,5.36,6.94,200,0.0629705681040383,0.0365,270.0,0.2422405309097782
2025-11-20,4.4,8.61,3.65,8.5,922,0.0602327173169062,0.0365,270.0,0.25956107938158074
2025-11-21,8.3,8.4,4.6,5.55,469,0.0574948665297741,0.0365,270.0,0.2523015006420416
2025-11-24,5.1,5.1,2.85,3.25,642,0.0492813141683778,0.0365,270.0,0.24467374781362713
2025-11-25,2.95,2.95,2.05,2.39,875,0.0465434633812457,0.0365,270.0,0.22522072004673716
2025-11-26,2.0,2.36,1.54,1.75,1062,0.0438056125941136,0.0365,270.0,0.20588060880657363
2025-11-28,1.86,2.2,1.34,1.36,712,0.0383299110198494,0.0365,270.0,0.2131588428248751
2025-12-01,1.52,2.0,0.7,0.7,2919,0.0301163586584531,0.0365,270.0,0.2405340546813823
2025-12-02,0.69,0.69,0.39,0.4,2929,0.027378507871321,0.0365,270.0,0.25111965074145787
2025-12-03,0.4,0.46,0.32,0.42,2398,0.0246406570841889,0.0365,270.0,0.24298310545957377
2025-12-04,0.39,0.83,0.35,0.51,4964,0.0219028062970568,0.0365,270.0,0.2233073432306541
2025-12-05,0.51,0.69,0.39,0.52,8488,0.0191649555099247,0.0365,270.0,0.20990427053212363
2025-12-08,0.53,0.77,0.36,0.46,10774,0.0109514031485284,0.0365,270.0,0.24736572640360216
2025-12-09,0.4,0.5,0.25,0.4,4279,0.0082135523613963,0.0365,270.0,0.25623832835897214
2025-12-10,0.33,0.44,0.08,0.1,10464,0.0054757015742642,0.0365,270.0,0.2585446429678344
2025-12-11,0.08,0.52,0.04,0.04,20123,0.0027378507871321,0.0365,270.0,0.2881320935619136
2025-12-12,0.02,0.04,0.01,0.01,3125,1e-09,0.0365,270.0,2.0
