timestamp,open,high,low,close,volume,ttm,r,k,imp_vol
2024-11-05,5.14,5.4,4.6,4.9,31,0.1040383299110198,0.0365,220.0,0.221932385544873
2024-11-06,3.5,4.45,3.31,3.9,82,0.1013004791238877,0.0365,220.0,0.17728786673214633
2024-11-07,3.0,3.11,2.37,2.53,122,0.0985626283367556,0.0365,220.0,0.1904615429201419
2024-11-08,2.31,2.34,2.01,2.19,329,0.0958247775496235,0.0365,220.0,0.17534565688910309
2024-11-11,2.68,4.03,2.52,3.15,379,0.0876112251882272,0.0365,220.0,0.18610635113877785
2024-11-12,2.92,3.25,2.49,3.0,465,0.0848733744010951,0.0365,220.0,0.18258555155176825
2024-11-13,2.71,3.4,2.06,2.6,312,0.082135523613963,0.0365,220.0,0.1812764153945272
2024-11-14,2.35,2.4,1.52,1.69,366,0.0793976728268309,0.0365,220.0,0.18246356718383383
2024-11-15,2.12,2.9,2.0,2.72,1429,0.0766598220396988,0.0365,220.0,0.1905045864324262
2024-11-18,2.36,2.36,1.38,1.74,423,0.0684462696783025,0.0365,220.0,0.19538575671683459
2024-11-19,1.85,1.94,1.21,1.52,579,0.0657084188911704,0.0365,220.0,0.1903205517269275
2024-11-20,1.56,2.27,1.33,1.45,454,0.0629705681040383,0.0365,220.0,0.1993941041842916
2024-11-21,1.39,2.3,1.19,1.45,640,0.0602327173169062,0.0365,220.0,0.19721025611934243
2024-11-22,1.53,1.53,0.97,1.04,718,0.0574948665297741,0.0365,220.0,0.19237810556227714
2024-11-25,0.76,0.82,0.5,0.52,1252,0.0492813141683778,0.0365,220.0,0.19788285180530346
2024-11-26,0.41,0.44,0.33,0.34,343,0.0465434633812457,0.0365,220.0,0.20481751579914076
2024-11-27,0.36,0.4,0.32,0.32,488,0.0438056125941136,0.0365,220.0,0.20648633136555267
2024-11-29,0.29,0.32,0.22,0.25,1082,0.0383299110198494,0.0365,220.0,0.23400131623513304
2024-12-02,0.21,0.21,0.13,0.14,1056,0.0301163586584531,0.0365,220.0,0.25933972776017866
2024-12-03,0.14,0.15,0.1,0.11,544,0.027378507871321,0.0365,220.0,0.29358828133624565
2024-12-04,0.11,0.11,0.08,0.09,182,0.0246406570841889,0.0365,220.0,0.30336185348371103
2024-12-05,0.08,0.09,0.07,0.08,922,0.0219028062970568,0.0365,220.0,0.3160417785338084
2024-12-06,0.06,0.08,0.05,0.06,796,0.0191649555099247,0.0365,220.0,0.3211588704619217
2024-12-09,0.07,0.07,0.03,0.04,1297,0.0109514031485284,0.0365,220.0,0.4582979425873714
2024-12-10,0.04,0.05,0.02,0.02,83,0.0082135523613963,0.0365,220.0,0.5021790514890364
2024-12-11,0.04,0.04,0.01,0.01,64,0.0054757015742642,0.0365,220.0,0.5476044763579144
2024-12-12,0.01,0.02,0.01,0.01,583,0.0027378507871321,0.0365,220.0,0.8112803737510014
2024-12-13,0.01,0.01,0.01,0.01,9,1e-09,0.0365,220.0,2.0
