Date,Stock_Close,Stock_Dividends,r,RV,Call_Close,Call_Sym,Put_Close,Put_Sym,Call_imp_vol,Put_imp_vol,Straddle_imp_vol,VRP,Straddle_Delta,Straddle_Gamma,Straddle_Vega,Straddle_Theta,Straddle_Rho,Straddle_Vanna,Straddle_Volga,Call_Delta,Call_Gamma,Call_Vega,Call_Theta,Call_Rho,Call_Vanna,Call_Volga,Put_Delta,Put_Gamma,Put_Vega,Put_Theta,Put_Rho,Put_Vanna,Put_Volga,Force_Close
2024-05-01,169.3000030517578,0.0,0.0547,0.24587323424330024,5.96,O:AAPL240607C00170000,5.8,O:AAPL240607P00170000,0.2632064562072662,0.2692531318084755,0.2662297764182091,0.02035654217490887,0.050615247923913254,0.0539791302649819,44.12691835196166,-54.64898564101656,-0.003418755398590989,0.07076454492307357,-0.248955842240992,0.5252006281447373,0.027296522271848367,22.06383556616277,-31.638657322049745,0.08888192994395151,0.03470662560339277,-0.12157419486741744,-0.4745853802208241,0.026682607993133534,22.063082785798894,-23.010328318966813,-0.0923006853425425,0.0360579193196808,-0.12738164737357455,False
2024-05-02,173.02999877929688,0.0,0.055099999999999996,0.2570731811569498,7.63,O:AAPL240607C00170000,4.1,O:AAPL240607P00170000,0.2464526167968902,0.2684919436552517,0.25749071215540176,0.00041753099845193153,0.2542195043706903,0.05298927730871463,42.072675194150264,-54.28111631286767,0.03328165134143986,-0.7129155522687824,12.886342796784167,0.6310224198329721,0.02753994628436477,20.965833824986376,-30.636212003905307,0.10477980245510361,-0.3909233690323114,7.269033353178576,-0.37680291546228184,0.02544933102434986,21.106841369163888,-23.64490430896236,-0.07149815111366375,-0.32199218323647105,5.617309443605592,False
2024-05-03,183.3800048828125,0.0,0.055099999999999996,0.33053720510635926,14.35,O:AAPL240607C00170000,0.55,O:AAPL240607P00170000,0.1224825038968631,0.20345584374508086,0.17429528169035913,-0.15624192341600013,0.8863304521700976,0.02048983886162673,12.313922182033117,-19.777819665572117,0.14646357405430355,-1.7520955813585692,165.40362500976653,0.9831996483955777,0.005899491666173534,2.4106384303183734,-10.631914109342592,0.1646320995273418,-0.7108913654752047,87.24677469456833,-0.09686919622548007,0.014590347195453199,9.903283751714744,-9.145905556229526,-0.01816852547303827,-1.0412042158833645,78.1568503151982,False
2024-05-06,181.7100067138672,0.0,0.055099999999999996,0.3317062386784189,12.87,O:AAPL240607C00170000,0.69,O:AAPL240607P00170000,0.15860629385659172,0.2033744987072491,0.1832565111577511,-0.14844972752066782,0.8125034819966053,0.03223610342959893,18.543334763881553,-25.460833559622735,0.12769525063680018,-2.2855710896418904,171.9104708060284,0.932231423356011,0.0147238415001111,7.343615682024482,-14.739474629522451,0.14907216971132897,-1.1919928094117744,99.7715149872605,-0.11972794135940568,0.01751226192948783,11.199719081857072,-10.721358930100282,-0.0213769190745288,-1.0935782802301162,72.1389558187679,False
2024-05-07,182.39999389648438,0.0,0.055099999999999996,0.3314848311496223,13.51,O:AAPL240607C00170000,0.55,O:AAPL240607P00170000,0.16622703765130994,0.20118235810728413,0.1852269421875477,-0.1462578889620746,0.8348652897716232,0.029604748101562058,16.64509729202982,-24.649348808214388,0.1261526486686829,-2.174197240869205,167.89630284552175,0.9366432722670578,0.013569522316746468,6.849252219123607,-14.906257679605666,0.14359824302888793,-1.104397622117736,92.94100491975176,-0.10177798249543457,0.016035225784815588,9.795845072906214,-9.743091128608722,-0.017445594360205038,-1.0697996187514691,74.95529792576997,False
2024-05-08,182.74000549316406,0.0,0.055099999999999996,0.32687970438227504,14.05,O:AAPL240607C00170000,0.5,O:AAPL240607P00170000,0.20285847696426362,0.20349635953361395,0.2031778311163187,-0.12370187326595633,0.8111288895662733,0.030678566323414095,18.1719108689405,-28.51140605662922,0.1167010059591312,-2.077019453838158,147.35247075757033,0.9058956691811838,0.015323691248489969,9.06245703903758,-18.87628181816784,0.1322561250147963,-1.03916238289517,73.83290775613708,-0.09476677961491053,0.015354875074924126,9.109453829902918,-9.635124238461378,-0.015555119055665107,-1.0378570709429884,73.51956300143326,False
2024-05-09,184.57000732421875,0.0,0.055099999999999996,0.29421610396793324,15.21,O:AAPL240607C00170000,0.35,O:AAPL240607P00170000,1.0,0.20782534668837033,0.16293246275186535,-0.1312836412160679,0.6020612938087022,0.01888224179657352,26.390628789290464,-128.92266311001984,0.06824342537000887,-0.970234688222523,73.25444211121545,0.6718755407446044,0.0067814104498383375,19.2513435383819,-120.74959896111942,0.07927310542692077,-0.05651852700317614,1.3403462541567934,-0.06981424693590221,0.012100831346735183,7.139285250908564,-8.173064148900432,-0.011029680056911908,-0.9137161612193468,71.91409585705865,False
2024-05-10,183.0500030517578,0.25,0.055099999999999996,0.29588156033000296,14.19,O:AAPL240607C00170000,0.34,O:AAPL240607P00170000,0.20350424994187447,0.1957374463744083,0.19969405422210695,-0.096187506107896,0.8447049266488836,0.028217814377847164,14.98486349813017,-26.57810798912635,0.11118511063564529,-1.986037014393725,145.59877175196846,0.9184942959380302,0.014367104538986144,7.775201823873718,-18.4505208169427,0.12217490767815764,-0.9910765705116005,71.29686926455767,-0.07378936928914659,0.013850709838861022,7.209661674256453,-8.127587172183654,-0.010989797042512356,-0.9949604438821246,74.30190248741079,False
2024-05-13,186.27999877929688,0.0,0.055,0.28676549801913803,17.85,O:AAPL240607C00170000,0.24,O:AAPL240607P00170000,0.29772986366453047,0.21638288503893877,0.26282199164628983,-0.0239435063728482,0.8362723658390006,0.022007597668112888,15.13941441193403,-34.58983367811579,0.10381450358989383,-1.487375909620868,108.73858502281739,0.8869097346570813,0.012594614972395194,9.810537605805791,-27.475107725667126,0.11110743418635252,-0.7269940572453474,45.003987699826745,-0.050637368818080786,0.009412982695717694,5.328876806128238,-7.114725952448662,-0.007292930596458692,-0.7603818523755207,63.734597322990645,False
2024-05-14,187.42999267578125,0.0,0.055,0.2734747163337367,18.63,O:AAPL240607C00170000,0.18,O:AAPL240607P00170000,0.27953574835497924,0.22016090271606517,0.25383429903984067,-0.01964041729389604,0.8790807000758678,0.018500717341014113,11.821718074155791,-29.379218161251668,0.10425434941188602,-1.3703693688172027,107.69438606879945,0.9187080245965171,0.010746193997228676,7.5377576932690555,-23.19549827161713,0.10968817022950467,-0.7114931280253632,49.76982143842355,-0.03962732452064932,0.007754523343785439,4.283960380886736,-6.183719889634539,-0.005433820817618648,-0.6588762407918394,57.92456463037589,False
