timestamp,open,high,low,close,volume,ttm,imp_vol
2024-01-02,6.9,7.75,5.45,6.3,595,0.10403832991101986,0.2710253392140255
2024-01-03,5.52,6.25,5.05,5.5,374,0.10130047912388775,0.24085672765369107
2024-01-04,4.35,4.75,3.75,4.2,896,0.09856262833675565,0.1882047822087675
2024-01-05,4.11,4.55,3.35,3.65,703,0.09582477754962354,0.16713439468946856
2024-01-08,4.0,5.7,3.8,5.65,2418,0.08761122518822724,0.2683860580538349
2024-01-09,4.95,5.45,4.3,5.35,978,0.08487337440109514,0.2591471660614744
2024-01-10,5.05,6.05,4.73,5.79,1100,0.08213552361396304,0.2848694282843921
2024-01-11,6.08,6.3,4.5,5.45,1452,0.07939767282683094,0.2738109778358781
2024-01-12,5.58,6.05,5.2,5.57,765,0.07665982203969883,0.2850929445014726
2024-01-16,3.7,4.55,3.2,4.25,2300,0.06570841889117043,0.2400175267276345
2024-01-17,3.22,3.9,2.91,3.85,2110,0.06297056810403832,0.22402499809676726
2024-01-18,5.35,7.4,5.3,7.01,1765,0.06023271731690623,0.40516300580951053
2024-01-19,7.5,9.25,7.2,8.86,697,0.057494866529774126,0.5205000932204608
2024-01-22,9.42,11.9,9.42,10.5,343,0.049281314168377825,0.6649269059004403
2024-01-23,11.55,12.0,10.7,11.55,115,0.04654346338124572,0.751296146227455
2024-01-24,12.4,12.49,10.95,10.98,196,0.04380561259411362,0.7379234956797717
2024-01-25,11.0,12.4,10.0,10.48,164,0.04106776180698152,0.7291580332746486
2024-01-26,10.55,10.92,8.9,9.05,182,0.038329911019849415,0.6558480502052965
2024-01-29,8.75,8.9,7.05,8.7,878,0.030116358658453114,0.7148685997685711
2024-01-30,8.1,8.2,5.73,6.03,1113,0.02737850787132101,0.5306649437569648
2024-01-31,5.15,5.27,3.9,3.9,2432,0.024640657084188913,0.37523447364941726
2024-02-01,3.75,5.15,3.55,5.05,4466,0.02190280629705681,0.5049571534932231
2024-02-02,0.74,3.8,0.59,2.83,54539,0.019164955509924708,0.32188471114872247
2024-02-05,4.12,4.9,2.63,3.61,20322,0.010951403148528405,0.5317373882806679
2024-02-06,2.93,4.6,2.9,4.58,3503,0.008213552361396304,0.76167914733781
2024-02-07,5.65,6.14,3.85,4.54,4454,0.0054757015742642025,0.9273927744903118
2024-02-08,4.3,4.6,2.52,3.37,5282,0.0027378507871321013,1.0087685362714225
2024-02-09,3.7,4.98,3.19,3.77,4970,1e-09,
