timestamp,open,high,low,close,volume,imp_vol,ttm,r,k
2026-01-06,11.59,11.59,10.3,10.3,61,0.2581938718216172,0.10403832991101986,0.037000000000000005,260.0
2026-01-07,10.2,10.25,8.95,9.11,85,0.26010795435580886,0.10130047912388775,0.037000000000000005,260.0
2026-01-08,7.55,8.7,7.0,8.55,352,0.2676508450078146,0.09856262833675565,0.037000000000000005,260.0
2026-01-09,8.7,8.8,7.13,8.35,582,0.26027778721621253,0.09582477754962354,0.037000000000000005,260.0
2026-01-12,8.4,9.44,7.15,8.79,794,0.2727416986359679,0.08761122518822724,0.0371,260.0
2026-01-13,7.95,9.5,7.82,8.9,958,0.2668397578501158,0.08487337440109514,0.037200000000000004,260.0
2026-01-14,8.32,9.5,7.01,8.24,717,0.2691457044796339,0.08213552361396304,0.037200000000000004,260.0
2026-01-15,8.4,8.55,6.75,7.15,430,0.26711195316766156,0.07939767282683094,0.0375,260.0
2026-01-16,7.0,7.07,5.55,5.65,1055,0.2627346613550033,0.07665982203969883,0.0375,260.0
2026-01-20,4.85,5.5,2.58,3.0,1802,0.30214651864646846,0.06570841889117043,0.0375,260.0
2026-01-21,3.2,4.19,2.55,3.0,2239,0.29642711690712825,0.06297056810403832,0.0375,260.0
2026-01-22,3.5,3.68,2.89,2.92,544,0.28990717759185114,0.06023271731690623,0.0379,260.0
2026-01-23,2.7,3.1,2.1,2.78,1655,0.29429564383047524,0.057494866529774126,0.0378,260.0
2026-01-26,3.5,5.7,3.4,5.25,2399,0.3166767244177767,0.049281314168377825,0.0377,260.0
2026-01-27,6.9,8.22,6.22,6.25,2006,0.3135174360027686,0.04654346338124572,0.0377,260.0
2026-01-28,5.95,6.1,4.69,5.45,598,0.32548508723552444,0.04380561259411362,0.037599999999999995,260.0
2026-01-29,6.3,7.23,4.9,6.91,980,0.36648835933565077,0.04106776180698152,0.037200000000000004,260.0
2026-01-30,3.7,6.23,2.54,5.05,8822,0.25881009711598857,0.038329911019849415,0.037200000000000004,260.0
2026-02-02,5.0,11.8,4.79,11.36,2404,0.2582528766124869,0.030116358658453114,0.037200000000000004,260.0
2026-02-03,11.05,13.05,9.5,11.17,1560,0.29057366161607256,0.02737850787132101,0.037200000000000004,260.0
2026-02-04,13.0,19.0,13.0,17.7,967,0.3774686258088421,0.024640657084188913,0.037200000000000004,260.0
2026-02-05,20.0,20.0,14.84,16.94,441,0.3740124958603067,0.02190280629705681,0.037200000000000004,260.0
2026-02-06,17.75,21.0,17.4,18.82,3355,0.39454201285568247,0.019164955509924708,0.037200000000000004,260.0
2026-02-09,18.1,18.34,12.4,15.4,445,0.43626186026417235,0.010951403148528405,0.037200000000000004,260.0
2026-02-10,15.35,15.35,13.5,14.31,88,0.45394984680911094,0.008213552361396304,0.037200000000000004,260.0
2026-02-11,15.05,20.3,15.0,16.6,707,0.7315638596768035,0.0054757015742642025,0.0371,260.0
2026-02-12,12.4,13.13,2.6,3.35,8709,0.43505262938417855,0.0027378507871321013,0.037200000000000004,260.0
2026-02-13,3.2,3.4,0.01,0.01,71367,1.0,1e-09,0.037200000000000004,260.0
