Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,RV,imp_vol,r,VRP,VRP_std,VRP_mean
2023-12-01,188.3730649805332,189.59041412612484,187.2843689303936,189.27371215820312,45704800,0.0,0.0,,,,0.055,,,
2023-12-04,188.02667840765253,188.09596593756663,185.52269231677565,187.4823303222656,43389500,0.0,0.0,-0.0094645041591416,,,0.055,,,
2023-12-05,188.254317759258,192.40122460244103,188.22461231756915,191.43130493164065,66628400,0.0,0.0,0.0210631828748184,,,0.055,,,
2023-12-06,192.45072587794945,192.7575361433548,190.1347886146608,190.34263610839844,41089700,0.0,0.0,-0.0056869947349047,,,0.055,,,
2023-12-07,191.63917909312917,192.9950884718347,191.59958189996595,192.2725982666016,47477700,0.0,0.0,0.0101394106841308,,,0.055,,,
2023-12-08,192.203315195023,193.97491963358075,191.678765637706,193.6977996826172,53406400,0.0,0.0,0.0074124000448543,,,0.055,,,
2023-12-11,191.12449893522992,191.5005967167582,189.4518726145205,191.1937713623047,60943700,0.0,0.0,-0.0129275000770038,,,0.055,,,
2023-12-12,191.094792823406,192.71793007544312,189.748775460602,192.70803833007807,52696900,0.0,0.0,0.0079200643252335,,,0.055,,,
2023-12-13,193.0841501529296,195.96423418895137,192.8466274130704,195.92465209960935,70404200,0.0,0.0,0.016691642950678,,,0.055,,,
2023-12-14,195.98403383047588,197.567574144968,194.14315707722483,196.07310485839844,66831600,0.0,0.0,0.0007577033170567,,,0.055,,,
2023-12-15,195.4990533238864,196.36010340669733,194.97450383643803,195.5386505126953,128538400,0.0,0.0,-0.0027257912098097,,,0.055,,,
2023-12-18,194.07387143964067,194.6083278162061,192.39135323196817,193.8759307861328,55751900,0.0,0.0,-0.0085032791328103,,,0.055,,,
2023-12-19,194.14313632648785,194.92500710230044,193.87590816937887,194.9151153564453,40714100,0.0,0.0,0.0053600494197438,,,0.055,,,
2023-12-20,194.87552171417175,195.64750075817216,192.82681274414065,192.82681274414065,52242800,0.0,0.0,-0.0107139079926447,,,0.055,,,
2023-12-21,194.08374258350807,195.05366217859583,191.5104692555924,192.67832946777344,46482500,0.0,0.0,-0.0007700343860591,,,0.055,,,
2023-12-22,193.1731927744169,193.4008388358449,190.9859239896969,191.6094512939453,37149600,0.0,0.0,-0.0055474747823517,,,0.055,,,
2023-12-26,191.6193796571302,191.8964996004414,190.84740051477695,191.0651397705078,28919300,0.0,0.0,-0.0028407342109783,,,0.055,,,
2023-12-27,190.5108903848591,191.5105004803971,189.12527563548676,191.16409301757807,48087700,0.0,0.0,0.0005179031988209,,,0.055,,,
2023-12-28,192.14390044821917,192.65855816674448,191.18387253758047,191.58966064453125,34049900,0.0,0.0,0.0022261901816151,,,0.055,,,
2023-12-29,191.9063700376295,192.40122918172025,189.758683164504,190.5504608154297,42672100,0.0,0.0,-0.0054240913920174,,,0.055,,,
2024-01-02,185.22579259007347,186.50253778362813,181.99931604152516,183.7313232421875,82488700,0.0,0.0,-0.0357865184059948,0.1916851427709126,,0.055,,,
2024-01-03,182.32593099304364,183.9688672168001,181.5440449736598,182.35562133789065,58414500,0.0,0.0,-0.007487574138262,0.1907100483300841,,0.055,,,
2024-01-04,180.2771803169373,181.2075179249861,179.0202489631632,180.03965759277344,71983600,0.0,0.0,-0.0127002596800999,0.1751869502478393,,0.055,,,
2024-01-05,180.1188231104021,180.8808952614232,178.31752871293088,179.317138671875,62379700,0.0,0.0,-0.0040131098367931,0.1749475937439123,,0.055,,,
2024-01-08,180.21780632812883,183.6917273170526,179.63387614033877,183.65213012695312,59144500,0.0,0.0,0.0241749979237095,0.1948109084724352,,0.055,,,
2024-01-09,182.0289774717032,183.24632668227045,180.8512103460259,183.23643493652344,42841800,0.0,0.0,-0.0022634923436081,0.1914651310772163,,0.055,,,
2024-01-10,182.4545720032457,184.48348240733844,182.02898528742008,184.2756500244141,46792900,0.0,0.0,0.0056714435000366,0.1896655083828612,,0.055,,,
2024-01-11,184.6220684732307,185.12683453552387,181.7320924826033,183.6818389892578,49128400,0.0,0.0,-0.0032224064062591,0.1862053769332597,,0.055,,,
2024-01-12,184.14699807850627,184.82001442518904,183.28594792653803,184.0084381103516,40477800,0.0,0.0,0.0017780697476186,0.1730603627334077,,0.055,,,
2024-01-16,180.28708678689063,182.36548612847807,179.0697224204938,181.74197387695312,65603000,0.0,0.0,-0.012317175541913,0.1754262987554678,,0.055,,,
2024-01-17,179.40626628613458,181.0491874231052,178.4462381888341,180.8017578125,47317400,0.0,0.0,-0.005173356734255,0.1754557237040045,,0.055,,,
2024-01-18,184.176674087568,187.1953179109023,183.91935276727983,186.6905670166016,78005800,0.0,0.0,0.0325705307036259,0.2167339717874405,,0.055,,,
2024-01-19,187.38337121910467,189.9764283832528,186.8786203129096,189.59043884277344,68903000,0.0,0.0,0.0155330388273662,0.2240741198761397,,0.055,,,
2024-01-22,190.32285100501895,193.32169654358245,190.28325381202237,191.89649963378903,60133900,0.0,0.0,0.0121633812606343,0.2260186100018784,,0.055,,,
2024-01-23,193.01488956324005,193.73737977781173,191.83712223283263,193.17323303222656,42355600,0.0,0.0,0.0066532396415464,0.2272790427425276,,0.055,,,
2024-01-24,193.41073733606615,194.36087349468036,192.3418398208385,192.5001983642578,53631300,0.0,0.0,-0.0034840989996604,0.2267011784161261,,0.055,,,
2024-01-25,193.212821813058,194.2520291241628,191.1245154438125,192.17361450195312,54822100,0.0,0.0,-0.0016965377962193,0.2265253198510547,,0.055,,,
2024-01-26,192.2725742116348,192.7575265029299,189.96652881027472,190.44158935546875,44594000,0.0,0.0,-0.0090128145373816,0.2289648255955907,,0.055,,,
2024-01-29,190.0357868811084,190.22383575614063,187.6307788947091,189.7586669921875,47145600,0.0,0.0,-0.0035859938241039,0.229114286379463,,0.055,,,
2024-01-30,188.97682064057707,189.8279790097777,185.54249682198056,186.10662841796875,55859400,0.0,0.0,-0.0192457010375664,0.2382212246013776,,0.055,,,
2024-01-31,185.11691469411625,185.17631048108572,182.4545850016048,182.50405883789065,55467800,0.0,0.0,-0.0193575565292992,0.2121832723210392,,0.055,,,
2024-02-01,182.0982496756258,185.0278069718484,181.92999940067185,184.9387359619141,64885400,0.0,0.0,0.0133403998767285,0.2156140519823837,,0.055,,,
2024-02-02,178.01073002917815,185.40392677166545,177.4070012757119,183.93914794921875,102551700,0.0,0.0,-0.0054049683399002,0.2110670231994219,,0.055,,,
2024-02-05,186.21547393955785,187.3041700041204,183.92922730587784,185.75030517578125,69668800,0.0,0.0,0.0098465022087768,0.212295633111025,,0.055,,,
2024-02-06,184.93875326056028,187.36355995873055,184.8496822422945,187.35366821289065,43490800,0.0,0.0,0.0086318191272529,0.1972514521630262,,0.055,,,
