Date,PortfolioMTM,NAV,DailyReturn,Equity,HedgeShares,CallNum,NetDelta,Gamma,Vega,Theta,Vanna,Volga,TradeEvent,CallSymbol,ExitCallSymbol,Rolled,RehedgeDay
2024-05-20,98653.83577819828,98653.83577819828,-0.004210219341298367,0.9865383577819828,285.0,-323.0,-0.34471269546514804,0.01339102138058866,9.221219974227392,-45.437565390799605,-0.819367113212536,56.64573863219671,,O:AAPL240607C00170000,,False,True
2024-05-21,98849.53943115237,98849.53943115237,0.001983740940332923,0.9884953943115238,308.0,-323.0,0.4404507779827327,0.008876375451443085,4.6309126166234895,-23.94691385539014,-0.7017804810523587,57.65929875647033,,O:AAPL240607C00170000,,False,True
2024-05-23,98821.76905517581,98821.76905517581,-0.0002809358155472138,0.9882176905517582,288.0,-323.0,0.2636091305936361,0.017682345407275295,8.063713915268806,-40.246338233598,-1.0170351747090458,63.01782632976368,,O:AAPL240607C00170000,,False,True
2024-05-24,98913.52641845706,98913.52641845706,0.0009285136681778116,0.9891352641845707,237.0,-323.0,-0.21453064474354733,0.012502300648116313,13.307864306041989,-165.63786636503593,-0.4605406267795047,28.35281243208944,,O:AAPL240607C00170000,,False,True
2024-05-28,98951.4287329102,98951.4287329102,0.00038318636313492,0.9895142873291021,247.0,-323.0,0.43865920516157075,0.01312341191249392,10.500106941277943,-184.2103694340817,-0.42356414731555414,21.193724302137753,,O:AAPL240607C00170000,,False,True
2024-05-29,98909.24571777348,98909.24571777348,-0.0004263002129113065,0.9890924571777349,314.0,-323.0,-0.025139053776968012,0.007073182030068578,2.1140848244654267,-23.42239379284505,-0.45327766077436327,29.783113533796797,,O:AAPL240607C00170000,,False,True
2024-05-30,98877.63571777346,98877.63571777346,-0.0003195858968554947,0.9887763571777347,309.0,-323.0,-0.20911429595651043,0.008596413365171581,2.8396978324903377,-35.80894716890682,-0.47280115308667614,27.099887469995593,,O:AAPL240607C00170000,,False,True
2024-05-31,99003.08779235843,99003.08779235843,0.0012687608646211076,0.9900308779235845,0.0,0.0,,,,,,,exit:force_close,,O:AAPL240607C00170000,False,False
2024-06-03,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
2024-06-04,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
2024-06-05,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
2024-06-06,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
2024-06-07,99003.08779235843,99003.08779235843,0.0,0.9900308779235845,0.0,0.0,,,,,,,,,,False,False
