Date,Transaction,Earned
2024-06-21,long,0.0
2024-06-24,close,-0.06209256079059191
2024-07-01,short,0.0
2024-07-08,rehedge,-0.7656689025879884
2024-07-22,close,0.3529996199107196
2024-07-29,short,0.0
2024-07-31,close,0.08318811025271286
2024-08-01,long,0.0
2024-08-02,rehedge,4.969496898175009
2024-08-30,close,1.4986667856718467
2024-10-25,short,0.0
2024-10-31,close,-0.15544697886597972
2024-11-08,long,0.0
2024-11-29,close,-0.15264813067526786
2024-12-18,long,0.0
2024-12-24,close,0.14922892466343166
2024-12-26,long,0.0
2024-12-27,close,0.27953930162941015
2024-12-30,long,0.0
2024-12-31,close,-0.0007003283692313123
2025-01-30,short,0.0
2025-01-31,close,1.199207505891007
2025-02-14,long,0.0
2025-02-21,close,0.6180810028382527
2025-02-25,long,0.0
2025-02-28,close,-0.5254535541692426
2025-03-03,long,0.0
2025-03-10,rehedge,0.15485417836627646
2025-03-13,rehedge,0.978546279640788
2025-03-18,rehedge,0.12257565238063058
2025-03-26,rehedge,0.34729783260712804
2025-03-31,close,0.07000000000000006
2025-04-09,long,0.0
2025-04-16,rehedge,0.11381474551071764
2025-04-21,close,0.2206650629576027
2025-04-25,long,0.0
2025-04-30,close,0.10549961724433232
2025-05-01,long,0.0
2025-05-12,rehedge,0.3293668248390129
2025-05-21,close,0.2570485526922062
2025-06-10,long,0.0
2025-06-12,close,0.20945090578454365
2025-07-23,short,0.0
2025-07-25,close,-0.42147372394237503
2025-07-29,long,0.0
2025-07-30,close,0.16211134083671225
2025-08-15,short,0.0
2025-08-19,close,-0.07424944720577265
2025-08-21,long,0.0
2025-08-25,close,0.37707474543881525
2025-08-26,long,0.0
2025-08-28,close,0.6780829568753884
2025-09-08,long,0.0
2025-09-17,close,-0.197725737608362
2025-09-19,long,0.0
2025-09-24,close,0.32726365907594035
2025-09-26,short,0.0
2025-09-30,close,0.15015562751982003
2025-10-01,long,0.0
2025-10-16,close,-0.009176009833850068
2025-10-23,short,0.0
2025-10-31,close,0.8121180522483727
2025-11-20,long,0.0
2025-11-25,close,0.08621413353171543
2025-12-09,long,0.0
2025-12-12,rehedge,0.1668162812817577
2025-12-29,close,-0.042900695277052536
2026-01-07,short,0.0
2026-01-14,close,1.0549055681215709
2026-01-21,long,0.0
2026-01-22,close,5.8441683585965185
2026-01-23,long,0.0
2026-01-30,close,-0.05683818006640373
2026-02-02,long,0.0
2026-02-20,rehedge,0.02784425522234854
2026-02-23,close,0.06557582995536831
